Rergion,State,Biggest City,Regional Biggest,2020 Pop
East-North Central ,IL,Chicago,1,2746352
East-North Central ,IN,Indianapolis,0,887661
East-North Central ,MI,Detroit,0,639115
East-North Central ,OH,Columbus,0,905839
East-North Central ,WI,Milwaukee,0,577225
East-South Central ,AL,Huntsville,0,215052
East-South Central ,KY,Louisville,0,632550
East-South Central ,MS,Jackson,0,153705
East-South Central ,TN,Nashville,1,689454
Mid-Atlantic ,NJ,Newark,0,311552
Mid-Atlantic ,NY,New York city,1,8804194
Mid-Atlantic ,PA,Philadelphia,0,1603799
Mountain ,AZ,Phoenix,1,1608190
Mountain ,CO,Denver,0,715538
Mountain ,ID,Boise,0,235712
Mountain ,MT,Billings,0,117142
Mountain ,NM,Albuquerque,0,564581
Mountain ,NV,Las Vegas,0,644866
Mountain ,UT,Salt Lake City,0,199711
Mountain ,WY,Cheyenne,0,65131
New England ,CT,Bridgeport,0,148644
New England ,MA,Boston,1,675632
New England ,ME,Portland,0,68409
New England ,NH,Manchester,0,115653
New England ,RI,Providence,0,190932
New England ,VT,Burlington,0,"44,646"
Pacific ,AK,Anchorage,0,291244
Pacific ,CA,Los Angeles,1,3898767
Pacific ,HI,Honolulu,0,350966
Pacific ,OR,Portland,0,652518
Pacific ,WA,Seattle,0,737018
South Atlantic ,DC,Washington,0,689546
South Atlantic ,DE,Wilmington,0,70893
South Atlantic ,FL,Jacksonville,1,949616
South Atlantic ,GA,Atlanta,0,498722
South Atlantic ,MD,Baltimore,0,585693
South Atlantic ,NC,Charlotte,0,874607
South Atlantic ,SC,Charleston,0,150288
South Atlantic ,VA,Virginia Beach,0,459471
South Atlantic ,WV,Charleston,0,"48,415"
West-North Central ,IA,Des Moines,0,214125
West-North Central ,KS,Wichita,0,397547
West-North Central ,MN,Minneapolis,0,429985
West-North Central ,MO,Kansas City,1,507971
West-North Central ,ND,Fargo,0,125952
West-North Central ,NE,Omaha,0,491743
West-North Central ,SD,Sioux Falls,0,192700
West-South Central ,AR,Little Rock,0,202562
West-South Central ,LA,New Orleans,0,383998
West-South Central ,OK,Oklahoma City,0,681084
West-South Central ,TX,Houston,1,2301572
